15,上海银行博物馆,上海浦东大道9号 （世纪金融大厦7楼）,31.24105493,121.5073867,5,周一--周五上午,58788743 58885888-6701,,票价：5元
16,上海中医药博物馆,上海浦东新区张江蔡伦路1200号（上海中医药大学内）,31.19566148,121.5942437,15,9,51322712、51322710、51322721,,票价：15元
17,上海邮政博物馆,上海虹口区北苏州路250号,31.24641152,121.4810354,8,周三、四、六、日开放 9:00-17:00(16:00停止入场),63060798,,票价：8元
18,上海眼镜博物馆,上海闸北区宝昌路533号,31.26203502,121.4681254,10,9:00--11:00; 14:00--16:00,56977528,,票价：10元，学生:5元
19,中国乳业博物馆,上海闸北区万荣路467号,31.27556073,121.4396099,0,全年09:00-16:30,021-56658452,,票价：免费
20,上海天文博物馆,上海松江区西佘山顶,31.09589158,121.1871079,30,8:00-18:00,021-57651723,,票价：30元
21,上海印刷博物馆,上海杨浦区水丰路100号(近杨浦体育馆),31.28328364,121.5382311,0,星期一——星期五8:00-16:00,021-64670228,,票价：免费
22,中国民族器乐博物馆,上海市莘庄七莘路1号（上海民族乐器一厂内）,31.14624583,121.341163,0,星期一 ~ 星期五 上午8∶30~下午3∶00（只接待预约团体）,64921448 64921440×25,,票价：免费
23,上海东方地质科普馆,上海市浦东机场镇华洲路南1号,31.17998702,121.7737156,50,8,021-68782557,,票价：成人50元
24,上海地震科普馆,上海市松江区镇西佘山（佘山地震基准台内）,31.09452058,121.1909499,5,星期二、三、四、五（上午）、六、日上午8,021-57652473,,票价：5元
25,上海隧道科技馆,上海市黄浦区中华路268号,31.22340231,121.4947643,0,周二、周五13:00-16:00,021-63331160,,票价：免费
26,上海气象科普馆,上海市浦东新区锦绣路951号,31.22188993,121.5489054,6,周一?—周五9:00-16:00,021-58336470,,票价：6元（目前只接待团体参观）
27,上海监狱博物馆,上海市长阳路147号,31.25718725,121.5058547,0,目前内部开放接待团体参观。双休日、 节假日闭馆。,（021）65419233×5213分机,,票价：免费
28,上海音乐学院东方乐器博物馆,上海市汾阳路20号,31.20609805,121.4403462,10,09:00－11:00；13:30－16:00（周一~周五）,64370137-2134,,票价：10元／人（团体需事先预约）
29,上海大自然野生昆虫馆,上海市浦东丰和路1号（陆家嘴）,31.23999509,121.497778,15,上午9:00?下午4:30全年开放。,021-58406950；58405921,,票价：成人15元，儿童10元
30,董浩云航运博物馆,上海市华山路1954号,31.20257212,121.4281319,0,周二至周日，下午1:30?5:00,021-62932403,,票价：免费
31,上海工艺美术博物馆,上海市汾阳路79号,31.21231032,121.4495463,8,周一至周日，上午9:00?下午5:00,021-64311431,,票价：个人8元，团体5元
32,石库门博物馆（“屋里厢”）,上海太仓路181弄25号（靠近中共一大会址）,31.22204486,121.4705397,20,周日至周四:10:30-22:30；周五至周六:11:00-23:00,021-33070337,,票价：成人：每张人民币20元；年龄60岁以上：每张人民币10元；年龄12岁以下：每张人民币10元
33,中国蓝印花布馆,上海市长乐路637弄24号,31.21809632,121.4461053,0,周一至周日，上午9:00?下午5:00,021-54037947,,票价：免费
34,上海航天科技展示馆,上海市漕溪路222号,31.17309464,121.4299819,20,内部接待为主，单位、团体参观可以预约登记,021-64820694,,票价：团体20元
35,上海医史博物馆,上海市徐汇区零陵路530号(上海中医药大学内),31.18914889,121.4455368,0,上午8:00~11:30， 下午1:00~ 5:00,021-54231350,,票价：免费
36,上海造币博物馆,上海市光复西路17号（上海造币厂内）,31.25178389,121.4298898,0,暂未对公众开放,0,,票价：团体
37,复旦大学博物馆,上海邯郸路220号复旦大学博物馆,31.29867295,121.49497,0,每周二、四、五14∶00-16∶00，节假日除外,2165643739,http://www.digmus.fudan.edu.cn/,票价：免费
38,东华大学纺织服饰博物馆,上海市延安西路1882号东华大学新教学大楼4楼,31.20788053,121.4091665,0,0,0,,票价：免费
39,上海水产大学鲸（抹香鲸）馆,上海市军工路334号,31.28857476,121.5539072,5,0,0,,票价：普通票5元、团体票4元（20人以上）、学生票4元（凭学生证）
41,上海师范大学博物馆,上海市桂林路100号,31.16341441,121.412485,0,每周一至周五8:00~16:30,0,,票价：免费
42,徐家汇藏书楼,上海市漕溪北路80号,31.19387955,121.4329456,0,每周六下午2:00,021－64874095,,票价：免费
43,上海当代艺术馆,上海市南京西路231号人民公园7号门,31.23340368,121.4682722,20,周一至周日:上午10点至下午6点；每周三 开放至晚上10点,021-63279900,,票价：普通票: ?20
44,上海民防科普教育馆 ,上海市复兴中路593号 ,31.21601838,121.4603193,0,周一闭馆，周二至周五对外开放，周六周日预约开放。（参观前请电话联系确认。） ,021-24028902 24028434,,票价：免费 
45,中国航海博物馆,上海市浦东新区申港大道197号,30.89955185,121.9156105,50,9:30-16:00，周一闭馆,0,www.shmmc.com.cn/,票价：成人50元
46,玻璃博物馆 ,上海市宝山区长江西路747号,31.34550575,121.467386,20,每周二至周日 9:30－16:30 ,021-66181970 66181971 ,,门票：大人20，130cm以下儿童免票 
